timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697739087553,1730,Login-0,302,,Endurance Test  3-29,,true,,412,741,6,46,http://localhost:8081/authenticate,1730,0,0
1697739089290,2037,Login-1,200,,Endurance Test  3-29,text,true,,28096,440,6,46,http://localhost:8081/,2034,0,0
1697739087502,3851,Login,200,,Spike Test  4-24,text,true,,28508,1173,24,47,http://localhost:8081/,2001,0,0
1697739087502,2001,Login-0,302,,Spike Test  4-24,,true,,412,733,24,47,http://localhost:8081/authenticate,2001,0,0
1697739089503,1850,Login-1,200,,Spike Test  4-24,text,true,,28096,440,24,47,http://localhost:8081/,1847,0,0
1697739087696,3659,Login,200,,Spike Test  4-28,text,true,,28508,1173,24,47,http://localhost:8081/,1843,0,0
1697739087696,1843,Login-0,302,,Spike Test  4-28,,true,,412,733,24,47,http://localhost:8081/authenticate,1843,0,0
1697739089539,1816,Login-1,200,,Spike Test  4-28,text,true,,28096,440,24,47,http://localhost:8081/,1811,0,0
1697739088014,3581,Login,200,,Spike Test  4-22,text,true,,28508,1177,25,48,http://localhost:8081/,1659,0,0
1697739088014,1659,Login-0,302,,Spike Test  4-22,,true,,412,737,25,48,http://localhost:8081/authenticate,1659,0,0
1697739089674,1921,Login-1,200,,Spike Test  4-22,text,true,,28096,440,25,48,http://localhost:8081/,1917,0,0
1697739088002,3736,Login,200,,Endurance Test  3-28,text,true,,28508,1181,7,49,http://localhost:8081/,1519,0,0
1697739088002,1519,Login-0,302,,Endurance Test  3-28,,true,,412,741,7,49,http://localhost:8081/authenticate,1519,0,0
1697739089522,2216,Login-1,200,,Endurance Test  3-28,text,true,,28096,440,7,49,http://localhost:8081/,2213,0,0
1697739088050,3697,Login,200,,Load Test  2-40,text,true,,28508,1165,14,49,http://localhost:8081/,1644,0,0
1697739088050,1644,Login-0,302,,Load Test  2-40,,true,,412,725,14,49,http://localhost:8081/authenticate,1644,0,0
1697739089695,2052,Login-1,200,,Load Test  2-40,text,true,,28096,440,14,49,http://localhost:8081/,2047,0,0
1697739088145,3632,Login,200,,Load Test  2-39,text,true,,28508,1173,14,49,http://localhost:8081/,1325,0,0
1697739088145,1325,Login-0,302,,Load Test  2-39,,true,,412,733,14,49,http://localhost:8081/authenticate,1325,0,0
1697739089471,2306,Login-1,200,,Load Test  2-39,text,true,,28096,440,14,49,http://localhost:8081/,2302,0,0
1697739088438,3533,Register Random User,200,,Spike Test  4-16,text,true,,395,685,26,50,http://localhost:8081/api/users/,3533,0,2
1697739089158,2857,Login,200,,Load Test  2-33,text,true,,28508,1177,14,50,http://localhost:8081/,955,0,0
1697739089158,955,Login-0,302,,Load Test  2-33,,true,,412,737,14,50,http://localhost:8081/authenticate,955,0,0
1697739090114,1901,Login-1,200,,Load Test  2-33,text,true,,28096,440,14,50,http://localhost:8081/,1898,0,0
